,category,name,details,goals
0,CLEANSER,La Roche-Posay Toleriane Hydrating Gentle Cleanser,Daily facial cleanser for normal to dry skin formulated to help restore skin comfort and retains essential moisture,"sensitive, dry, combo, acne, hydration, sun, age, texture"
1,CLEANSER,Indie Lee Brightening Cleanser,This is an antioxidant-rich cleanser makeup remover and mask in one formulated with strawberry Seed Oil hydrolyzed Wheat Protein and Tomato extracts exfoliate and nourish for hydrated silky and luminous skin.,"normal, combo, oily, acne, hydration, sun, age, texture"
2,CLEANSER,COSRX Low pH Good Morning Gel Cleanser,Formulated with botanical skin-purifying ingredients this gentle and hydrating formula rinses away impurities without disrupting the skin's natural moisture balance.,"oily, combo, normal, acne, hydration, sun, age, texture"
3,CLEANSER,CeraVe Foaming Facial Cleanser,This cleanser has a unique formula with three essential ceramides that cleanses and removes oil without disrupting the protective skin barrier.,"sensitive, dry, combo, oily, normal, acne, hydration, sun, age, texture"
4,CLEANSER,The Ordinary Squalane Cleanser,This cleanser  is a lightweight balm that melts into an oil-like consistency to remove makeup and facial impurities.,"sensitive, dry, combo, acne, hydration, sun, age, texture"
5,CLEANSER,Superfood Antioxidant Cleanser,An award-winning face wash with cold-pressed antioxidants to prevent buildup in pores and support skin’s pH balance.,"combo, oily, normal, acne, hydration, sun, age, texture"
6,SERUM,Glossier Super Pure Serum,A daily vitamin and mineral duo of 5% Niacinamide and Zinc PCA that nourishes skin for visibly smoother texture and improved clarity.,"sensitive, dry, combo, oily, normal, acne, texture"
7,SERUM,Bakuchiol Retinol Alternative Smoothing Serum,A natural plant-based serum that provides an alternative to retinol that smooths the appearance of fine lines and wrinkles.,"dry, combo, oily, normal, age, acne"
8,SERUM,Hanskin Hyaluron Essence,A toner moisturizer and essence in one this cushiony non-sticky formula instantly quenches dryness and restores your skin's natural glow.,"sensitive, dry, combo, oily, normal, hydration, sun"
9,SERUM,Dr. Jart Cicapair Tiger Grass Serum,A highly-concentrated serum that treats sensitive skin with a blend of strengthening Jartbiome soothing Centella Rx and reparative Cicabond.,"sensitive, dry, combo, oily, normal, hydration, sun"
10,SERUM,Paulas Choice 2% BHA Liquid Exfoliant,This gentle leave-on exfoliant with salicylic acid quickly unclogs pores smooths wrinkles brightens and evens out skin tone.,"dry, combo, oily, normal, acne, age, texture"
11,MOISTURIZER,Dr. Jart Ceramidin Cream,A moisturizing cream supercharged with 5-Cera Complex to strengthen the skin barrier and shield from water and moisture loss.,"dry, combo, acne, hydration, sun, age, texture"
12,MOISTURIZER,Squalane + Probiotic Gel Moisturizer,A hydrating gel moisturizer infused with squalane and probiotic technology that is known to calm and soothe skin while supporting the skin‘s natural barrier.,"oily, combo, normal, acne, sun, age, texture"
13,MOISTURIZER,Lipikar Balm AP Cream,A restorative moisturizer for dry dehydrated skin that replenishes skin's essential lipids and provides long-lasting 48-hour hydration.,"sensitive, dry, combo, acne, hydration, sun, age, texture"
14,MOISTURIZER,Lotus Anti- Aging Daily Moisturizer,A lightweight moisturizer powered by antioxidant-rich super lotus that targets the first signs of aging for youthful-looking skin.,"dry, combo, normal, oily, hydration, sun, age"
15,SUNSCREEN,PURITO Comfy Water Sun Block SPF 50,A daily non-nano sunblock that feels soft on your skin and adheres comfortably.,"sensitive, dry, combo, normal, acne, hydration, sun, age, texture"
16,SUNSCREEN,Supergoop Unseen Sunscreen SPF 40,An invisible and weightless daily sunscreen.,"oily, combo, normal, acne, hydration, sun, age, texture"
